"word","cutoff","cosine","forward"
"house","0",0.0382412289493423,"backward"
"house","0",0.00497407613856712,"forward"
"conference","0",0.0576674989974696,"backward"
"conference","0",0.0103679115694979,"forward"
"night","0",0.035423368783561,"backward"
"night","0",0.00216926618568379,"forward"
"dry","0",0.00518638327396496,"backward"
"dry","0",0.0465203928663833,"forward"
"house","0.1",0.141850088860541,"backward"
"conference","0.1",0.11931915609401,"backward"
"night","0.1",0.0844047095310621,"backward"
"night","0.1",0.00541901516723739,"forward"
"dry","0.1",0.0110624060975804,"backward"
"dry","0.1",0.098415101569374,"forward"
"house","0.2",0.145221404787669,"backward"
"conference","0.2",0.145762124779409,"backward"
"night","0.2",0.227229159595846,"backward"
"night","0.2",0.00541955943710366,"forward"
"dry","0.2",0.112314839634633,"forward"
"house","0.3",0.174210574933443,"backward"
"conference","0.3",0.144412399647989,"backward"
"night","0.3",0.229716213813232,"backward"
"dry","0.3",0.137052077027091,"forward"
"house","0.4",0.177932671307964,"backward"
"conference","0.4",0.146347021454451,"backward"
"night","0.4",0.232880595511772,"backward"
"dry","0.4",0.138562379895138,"forward"
"house","0.5",0.180291611395675,"backward"
"conference","0.5",0.148981312258065,"backward"
"night","0.5",0.237140962408926,"backward"
"dry","0.5",0.138562379895138,"forward"
"house","0.6",0.168896525081881,"backward"
"conference","0.6",0.150017098600242,"backward"
"night","0.6",0.241649877750113,"backward"
"dry","0.6",0.143537217450165,"forward"
"house","0.7",0.172272024138404,"backward"
"conference","0.7",0.150017098600242,"backward"
"night","0.7",0.241649877750113,"backward"
"dry","0.7",0.143537217450165,"forward"
"house","0.8",0.180070803800338,"backward"
"conference","0.8",0.150782929567743,"backward"
"night","0.8",0.242952773875108,"backward"
"house","0.9",0.184855636888809,"backward"
"conference","0.9",0.153569530078574,"backward"
"night","0.9",0.242952773875108,"backward"
"conference","1",0.154789880433198,"backward"
"night","1",0.245193849348976,"backward"
"conference","1.1",0.156266454370451,"backward"
"night","1.1",0.251225537946457,"backward"
"night","1.2",0.254958458434642,"backward"
"night","1.3",0.259914821361517,"backward"
"night","1.4",0.259914821361517,"backward"
"night","1.5",0.266948069457486,"backward"
"night","1.6",0.266948069457486,"backward"
